briefing_date,ticker,source,verdict,conviction,score,horizon_days,entry_date,entry_price,exit_date,exit_price,fwd_return_pct,bench_return_pct,excess_pct,outcome,correct,sub_valuation,sub_quality,sub_momentum,sub_risk
2026-06-10,MOIL,w1,WEEKLY_BUY,weekly,6.84,5,2026-06-10,0.467,2026-06-17,0.472,1.07,3.22,-2.15,graded,False,,,,
2026-06-10,MOIL,w1,WEEKLY_BUY,weekly,6.84,21,2026-06-10,0.467,2026-07-12,0.545,16.7,8.1,8.6,graded,True,,,,
2026-06-11,GBCO,v8b,REDUCE,medium,49.1,5,2026-06-13,28.4,2026-06-20,29.01,2.15,2.49,-0.35,graded,True,50.0,50.0,45.0,55.0
2026-06-11,GBCO,v8b,REDUCE,medium,49.1,21,2026-06-13,28.4,2026-07-13,31.9,12.32,6.22,6.1,graded,False,50.0,50.0,45.0,55.0
2026-06-11,MICH,v8b,HOLD,medium,58.1,5,2026-06-13,36.94,2026-06-20,39.0,5.58,2.49,3.08,graded,,50.0,75.0,57.0,50.0
2026-06-11,MICH,v8b,HOLD,medium,58.1,21,2026-06-13,36.94,2026-07-13,38.4,3.95,6.22,-2.27,graded,,50.0,75.0,57.0,50.0
2026-06-11,ZMID,v8b,HOLD,medium,60.1,5,2026-06-13,6.24,2026-06-20,6.3,0.96,2.49,-1.53,graded,,50.0,75.0,60.0,55.0
2026-06-11,ZMID,v8b,HOLD,medium,60.1,21,2026-06-13,6.24,2026-07-13,7.14,14.42,6.22,8.2,graded,,50.0,75.0,60.0,55.0
2026-06-11,JUFO,v8b,HOLD,medium,62.5,5,2026-06-13,30.48,2026-06-20,31.8,4.33,2.49,1.84,graded,,50.0,75.0,67.0,55.0
2026-06-11,JUFO,v8b,HOLD,medium,62.5,21,2026-06-13,30.48,2026-07-13,29.83,-2.13,6.22,-8.35,graded,,50.0,75.0,67.0,55.0
2026-06-11,OLFI,v8b,HOLD,medium,52.0,5,2026-06-13,22.64,2026-06-20,22.5,-0.62,2.49,-3.11,graded,,50.0,75.0,37.0,55.0
2026-06-11,OLFI,v8b,HOLD,medium,52.0,21,2026-06-13,22.64,2026-07-13,22.79,0.66,6.22,-5.56,graded,,50.0,75.0,37.0,55.0
2026-06-11,GBCO,w1,WEEKLY_BUY,weekly,13.25,5,2026-06-13,28.4,2026-06-20,29.01,2.15,2.49,-0.35,graded,False,,,,
2026-06-11,GBCO,w1,WEEKLY_BUY,weekly,13.25,21,2026-06-13,28.4,2026-07-13,31.9,12.32,6.22,6.1,graded,True,,,,
2026-06-11,MICH,w1,WEEKLY_BUY,weekly,7.75,5,2026-06-13,36.94,2026-06-20,39.0,5.58,2.49,3.08,graded,True,,,,
2026-06-11,MICH,w1,WEEKLY_BUY,weekly,7.75,21,2026-06-13,36.94,2026-07-13,38.4,3.95,6.22,-2.27,graded,False,,,,
2026-06-11,ZMID,w1,WEEKLY_BUY,weekly,7.58,5,2026-06-13,6.24,2026-06-20,6.3,0.96,2.49,-1.53,graded,False,,,,
2026-06-11,ZMID,w1,WEEKLY_BUY,weekly,7.58,21,2026-06-13,6.24,2026-07-13,7.14,14.42,6.22,8.2,graded,True,,,,
2026-06-11,JUFO,w1,WEEKLY_BUY,weekly,6.95,5,2026-06-13,30.48,2026-06-20,31.8,4.33,2.49,1.84,graded,True,,,,
2026-06-11,JUFO,w1,WEEKLY_BUY,weekly,6.95,21,2026-06-13,30.48,2026-07-13,29.83,-2.13,6.22,-8.35,graded,False,,,,
2026-06-11,OLFI,w1,WEEKLY_BUY,weekly,4.67,5,2026-06-13,22.64,2026-06-20,22.5,-0.62,2.49,-3.11,graded,False,,,,
2026-06-11,OLFI,w1,WEEKLY_BUY,weekly,4.67,21,2026-06-13,22.64,2026-07-13,22.79,0.66,6.22,-5.56,graded,False,,,,
2026-06-14,GBCO,v8b,REDUCE,medium,49.1,5,2026-06-14,28.5,2026-06-21,29.01,1.79,2.26,-0.47,graded,True,50.0,50.0,45.0,55.0
2026-06-14,GBCO,v8b,REDUCE,medium,49.1,21,2026-06-14,28.5,2026-07-14,33.28,16.77,7.39,9.38,graded,False,50.0,50.0,45.0,55.0
2026-06-14,OLFI,v8b,HOLD,medium,52.0,5,2026-06-14,22.37,2026-06-21,22.5,0.58,2.26,-1.68,graded,,50.0,75.0,37.0,55.0
2026-06-14,OLFI,v8b,HOLD,medium,52.0,21,2026-06-14,22.37,2026-07-14,22.87,2.24,7.39,-5.16,graded,,50.0,75.0,37.0,55.0
2026-06-14,ASCM,v8b,HOLD,medium,62.7,5,2026-06-14,60.8,2026-06-21,59.11,-2.78,2.26,-5.04,graded,,50.0,75.0,70.0,50.0
2026-06-14,ASCM,v8b,HOLD,medium,62.7,21,2026-06-14,60.8,2026-07-14,62.0,1.97,7.39,-5.42,graded,,50.0,75.0,70.0,50.0
2026-06-14,ZMID,v8b,HOLD,medium,57.3,5,2026-06-14,6.17,2026-06-21,6.3,2.11,2.26,-0.15,graded,,50.0,75.0,52.0,55.0
